"y","MEN","URBAN","PRIVATE","AGE","SENIORITY"
0,1,0,1,28,16
0,1,1,1,50,4
1,1,0,1,40,18
1,1,0,1,45,19
1,0,0,1,48,17
0,1,1,1,39,5
1,1,0,1,56,20
0,1,0,1,23,2
0,1,0,1,67,13
0,1,0,1,32,9
0,1,0,1,62,16
0,1,0,1,65,21
1,0,1,1,45,12
0,1,1,1,31,7
0,1,0,1,62,7
0,1,1,1,62,13
0,1,0,1,38,7
0,0,0,1,31,3
1,1,0,1,56,13
0,1,0,1,29,8
1,0,0,1,31,7
1,1,0,1,50,22
1,1,0,1,26,12
0,1,1,1,56,12
1,1,0,1,38,14
0,0,1,1,24,2
0,0,0,1,46,5
0,1,0,1,41,9
0,0,0,1,42,9
0,1,1,1,45,2
0,1,0,1,68,5
0,1,0,1,46,2
0,1,0,1,66,20
1,1,1,1,49,13
0,1,0,1,56,17
1,1,1,1,66,19
0,1,1,1,57,14
0,1,0,1,58,13
1,0,0,1,53,16
0,1,0,1,46,6
1,0,1,1,42,15
0,1,0,1,34,4
0,1,0,1,60,13
0,1,1,1,56,19
1,1,1,1,48,16
0,1,0,1,48,9
0,1,0,1,66,16
0,1,0,1,51,16
0,1,0,1,45,15
0,0,0,1,45,30
0,1,0,1,58,8
1,1,1,1,39,13
1,0,0,1,39,15
0,1,0,1,35,12
1,1,0,1,50,7
0,1,0,1,56,18
1,0,1,1,32,4
0,1,1,1,50,21
0,1,0,1,25,2
0,0,0,1,37,5
0,1,0,1,66,23
0,1,0,1,41,6
0,1,0,1,62,5
0,0,0,1,77,20
1,1,1,1,37,10
0,1,0,1,66,8
0,1,1,1,61,6
1,0,1,1,26,4
0,1,0,1,63,21
1,1,0,1,38,22
0,1,0,1,52,18
0,1,0,1,50,15
0,1,1,1,58,20
1,1,0,1,57,15
0,1,1,1,33,3
1,1,1,1,57,21
0,1,0,1,70,38
0,1,0,1,52,2
1,1,1,1,47,9
0,1,0,1,35,3
0,0,1,1,38,4
0,1,1,1,56,8
0,0,0,1,45,7
0,1,0,1,66,16
0,1,0,1,58,13
0,1,0,1,30,11
0,1,1,1,51,7
0,0,0,1,34,5
0,1,0,1,41,9
0,1,0,1,31,9
0,1,0,1,58,20
0,1,0,1,68,5
0,1,0,1,73,14
0,1,1,1,54,5
0,1,1,1,31,3
0,1,0,1,48,2
1,0,1,1,38,13
1,1,1,1,50,19
0,1,0,1,47,4
0,1,0,1,58,9
0,1,0,1,48,12
1,0,0,1,67,19
0,1,0,1,42,5
1,1,1,1,30,9
0,1,0,1,36,13
1,1,1,1,34,4
0,1,0,1,48,5
1,1,0,1,46,17
0,1,0,1,48,14
1,1,0,1,57,30
0,1,0,1,24,2
0,1,0,1,50,6
0,1,0,1,47,13
0,1,1,1,51,20
1,1,1,1,35,4
1,1,0,1,47,23
0,0,1,1,27,4
0,1,0,1,74,20
0,1,0,1,74,13
0,1,1,1,40,7
0,1,1,1,68,7
0,1,1,1,32,18
0,1,0,1,50,13
1,1,0,1,38,14
0,1,0,1,53,13
1,1,0,1,70,27
0,1,0,1,67,12
0,1,0,1,41,15
0,1,0,1,51,7
0,1,0,1,39,3
0,0,1,1,45,9
1,1,0,1,43,15
0,1,1,1,75,12
0,1,0,1,68,13
0,1,0,1,61,11
0,1,0,1,62,8
0,1,0,1,20,2
0,1,0,1,68,15
0,0,0,1,31,3
0,1,0,1,40,17
0,0,1,1,45,6
1,1,1,1,36,5
1,0,0,1,38,8
1,1,1,1,40,7
0,1,0,1,52,6
1,1,1,1,51,8
0,1,1,1,61,14
0,0,1,1,42,9
1,1,0,1,41,14
0,1,0,1,35,6
1,1,1,1,63,10
0,1,0,1,27,2
0,0,0,1,33,9
0,1,0,1,55,2
1,1,0,1,39,14
1,0,0,1,51,12
1,0,0,1,58,14
0,0,0,1,49,14
1,1,1,1,44,12
0,1,0,1,39,14
1,0,0,1,34,12
1,0,0,1,38,15
0,1,0,1,46,4
0,0,0,1,55,3
0,0,0,1,53,4
0,1,1,1,55,16
0,1,0,1,23,5
1,1,0,1,36,7
1,1,0,1,42,16
1,1,1,1,48,7
1,0,1,1,64,7
1,1,0,1,44,16
0,1,0,1,83,11
1,1,1,1,27,3
1,1,0,1,21,2
0,1,0,1,38,17
0,1,0,1,46,16
1,1,1,1,68,22
0,0,0,1,51,2
1,1,1,1,40,6
1,1,0,1,45,21
0,1,0,1,36,17
1,1,1,1,31,7
0,1,0,1,28,5
0,0,0,1,45,2
0,1,0,1,54,7
0,1,0,1,40,2
0,1,0,1,76,19
0,1,0,1,61,5
0,1,0,1,52,12
0,0,1,1,33,7
0,1,0,1,36,11
1,1,0,1,45,19
1,1,1,1,32,14
0,1,1,1,69,20
0,1,0,1,71,19
0,1,1,1,36,11
0,1,0,1,22,3
0,1,1,1,39,13
0,0,1,1,39,12
0,1,0,1,29,5
0,1,0,1,60,17
0,1,0,1,48,8
1,0,1,1,39,5
0,1,1,1,53,4
0,1,0,1,34,3
0,1,0,1,50,3
0,1,1,1,50,4
1,0,0,1,43,20
1,1,1,1,76,22
0,1,0,1,50,4
1,1,0,1,48,3
0,1,1,1,23,5
0,1,0,1,30,3
0,1,0,1,71,8
0,1,0,1,34,12
1,1,0,1,34,14
0,1,0,1,43,3
0,0,0,1,52,2
1,1,1,1,18,2
0,0,1,1,53,4
0,1,0,1,42,4
0,0,0,1,56,6
0,1,1,1,31,7
0,1,0,1,36,13
1,0,0,1,31,8
0,0,1,1,48,3
0,1,1,1,52,7
1,1,0,1,50,18
1,0,0,1,46,7
0,0,1,1,48,25
0,1,0,1,55,20
0,1,0,1,56,16
0,1,0,1,43,5
1,1,1,1,57,13
0,1,0,1,39,12
0,1,0,1,62,14
0,1,0,1,52,9
0,0,0,1,26,4
1,1,0,1,39,14
0,0,0,1,38,12
1,1,1,1,56,17
0,0,0,1,40,3
0,0,0,1,37,16
0,0,0,1,50,8
0,1,1,1,38,2
1,1,1,1,30,8
0,1,1,1,60,2
1,1,0,1,40,2
0,0,0,1,38,16
1,1,0,1,37,15
0,1,0,1,56,9
1,0,0,1,36,5
1,0,1,1,44,5
1,1,1,1,70,24
1,0,0,1,43,12
0,0,1,1,40,10
0,1,0,1,49,19
0,1,0,1,56,17
0,1,1,1,92,16
0,1,0,1,51,15
0,1,0,1,65,11
0,1,0,0,34,7
1,0,1,1,54,6
1,0,0,1,29,6
0,1,0,1,56,7
0,1,0,1,26,3
1,0,0,1,28,4
0,1,0,1,47,15
0,1,0,1,80,2
0,1,0,1,32,9
0,1,0,1,77,17
0,1,0,1,53,15
0,1,1,1,31,6
0,1,1,1,29,2
0,1,0,1,36,6
0,0,0,1,28,7
1,1,0,1,38,18
0,1,1,1,44,4
1,1,1,1,24,3
0,1,0,1,74,14
0,1,0,1,51,7
0,1,1,1,34,5
0,1,1,1,30,2
0,0,1,1,45,20
0,1,0,1,39,6
0,0,0,1,29,3
0,1,1,1,61,11
0,1,1,1,44,13
0,1,0,1,39,6
1,1,0,1,37,15
1,1,1,1,49,16
1,0,1,1,55,28
1,0,0,1,38,8
0,1,0,1,48,3
0,0,0,1,42,3
0,1,0,1,35,4
1,1,0,1,50,14
0,1,0,1,72,14
0,1,1,1,75,15
